date,total_value,cash,position_value,equity_ratio,macro_score,regime,choppy_mode,positions,总资产,现金,持仓市值,权益仓位,市场状态,震荡市,持仓明细
2023-10-24,490843.45738999965,391299.45738999965,99544.0,0.20280192900871716,-8.380496464027187,bearish,False,"{""512890"": 0.20963547226879348}",490843.45738999965,391299.45738999965,99544.0,0.20280192900871716,偏空,False,"{""512890"": 0.20963547226879348}"
2023-10-25,491772.3941799997,391534.8941799997,100237.5,0.2038290501587424,-5.606351934606047,neutral,False,"{""588000"": 0.2038290501587424}",491772.3941799997,391534.8941799997,100237.5,0.2038290501587424,中性,False,"{""588000"": 0.2038290501587424}"
2023-10-26,491704.61329999974,376665.0132999997,115039.60000000003,0.23396079045899018,-1.9789142313861243,neutral,False,"{""588000"": 0.07791873202666984, ""512100"": 0.07801350437319564, ""515000"": 0.07794110318142915}",491704.61329999974,376665.0132999997,115039.60000000003,0.23396079045899018,中性,False,"{""588000"": 0.07791873202666984, ""512100"": 0.07801350437319564, ""515000"": 0.07794110318142915}"
2023-10-27,493731.7132999997,376665.0132999997,117066.70000000001,0.23710589546203265,4.237216518002042,bullish,False,"{""588000"": 0.07759882334461342, ""512100"": 0.07769320658706008, ""515000"": 0.07762110265077037}",493731.7132999997,376665.0132999997,117066.70000000001,0.23710589546203265,偏多,False,"{""588000"": 0.07759882334461342, ""512100"": 0.07769320658706008, ""515000"": 0.07762110265077037}"
2023-10-30,496148.61329999974,376665.0132999997,119483.60000000003,0.2408221988272563,6.484440645545896,bullish,False,"{""588000"": 0.07722081443535907, ""512100"": 0.07731473790657477, ""515000"": 0.07724298521182629}",496148.61329999974,376665.0132999997,119483.60000000003,0.2408221988272563,偏多,False,"{""588000"": 0.07722081443535907, ""512100"": 0.07731473790657477, ""515000"": 0.07724298521182629}"
2023-10-31,495605.41329999967,376665.0132999997,118940.39999999997,0.23999011473267143,5.384694067862022,bullish,False,"{""588000"": 0.07730545101372488, ""512100"": 0.07739947742818576, ""515000"": 0.07732764609009977}",495605.41329999967,376665.0132999997,118940.39999999997,0.23999011473267143,偏多,False,"{""588000"": 0.07730545101372488, ""512100"": 0.07739947742818576, ""515000"": 0.07732764609009977}"
2023-11-01,495049.2132999997,376665.0132999997,118384.20000000001,0.23913622488328087,4.749060422321377,bullish,False,"{""588000"": 0.0773923055944386, ""512100"": 0.077486437649895, ""515000"": 0.07741452560752918}",495049.2132999997,376665.0132999997,118384.20000000001,0.23913622488328087,偏多,False,"{""588000"": 0.0773923055944386, ""512100"": 0.077486437649895, ""515000"": 0.07741452560752918}"
2023-11-02,493857.8132999997,376665.0132999997,117192.79999999999,0.2373006902875704,1.8614180636309814,bullish,False,"{""588000"": 0.07757900952095764, ""512100"": 0.07767336866390329, ""515000"": 0.07760128313839117}",493857.8132999997,376665.0132999997,117192.79999999999,0.2373006902875704,偏多,False,"{""588000"": 0.07757900952095764, ""512100"": 0.07767336866390329, ""515000"": 0.07760128313839117}"
2023-11-03,495564.3132999997,376665.0132999997,118899.29999999999,0.2399270827397572,2.495788442974002,bullish,False,"{""588000"": 0.07731186239959628, ""512100"": 0.07740589661220874, ""515000"": 0.07733405931673656}",495564.3132999997,376665.0132999997,118899.29999999999,0.2399270827397572,偏多,False,"{""588000"": 0.07731186239959628, ""512100"": 0.07740589661220874, ""515000"": 0.07733405931673656}"
2023-11-06,498027.41329999967,376665.0132999997,121362.39999999997,0.24368618425205882,6.999344686254254,bullish,False,"{""588000"": 0.07692950021793514, ""512100"": 0.077023069364443, ""515000"": 0.07695158735552284}",498027.41329999967,376665.0132999997,121362.39999999997,0.24368618425205882,偏多,False,"{""588000"": 0.07692950021793514, ""512100"": 0.077023069364443, ""515000"": 0.07695158735552284}"
