,0
2023-06-15,1.0204208960399996
2023-06-16,1.0217277163799996
2023-06-19,1.0366574115799996
2023-06-20,1.0374818115799995
2023-06-21,1.0341809232399994
2023-06-26,1.0139334509999993
2023-06-27,1.0172744362399995
2023-06-28,1.0065389332399994
2023-06-29,1.0051647873999994
2023-06-30,1.0062878798999992
2023-07-03,1.0068130798999992
2023-07-04,1.0070966798999992
2023-07-05,1.0063726798999992
2023-07-06,1.0058554798999992
2023-07-07,1.0054166798999993
2023-07-10,1.0058414798999993
2023-07-11,1.0065842798999993
2023-07-12,1.0055414414199992
2023-07-13,1.0104678414199992
2023-07-14,1.0096252414199993
2023-07-17,1.0079444414199994
2023-07-18,1.0074986764399994
2023-07-19,1.0075931314799993
2023-07-20,1.0050363876799995
2023-07-21,1.0050919440799992
2023-07-24,1.0044202056799993
2023-07-25,1.0128138056799993
2023-07-26,1.0119502056799994
2023-07-27,1.0107274056799993
2023-07-28,1.0199646056799994
2023-07-31,1.0214706056799994
2023-08-01,1.0203302056799994
2023-08-02,1.0193318056799994
2023-08-03,1.0228618056799992
2023-08-04,1.0246430056799993
2023-08-07,1.0228246056799994
2023-08-08,1.0219490056799994
2023-08-09,1.0205346056799993
2023-08-10,1.0216564114799995
2023-08-11,1.0149934437799994
2023-08-14,1.0123782437799993
2023-08-15,1.0150641352999992
2023-08-16,1.0137001504599992
2023-08-17,1.0142109504599992
2023-08-18,1.0089651854599995
2023-08-21,1.0039058193999995
2023-08-22,1.0071988193999994
2023-08-23,1.0023566193999993
2023-08-24,1.0047356488799994
2023-08-25,1.0057368488799994
2023-08-28,1.0104719671599993
2023-08-29,1.0094404712599994
2023-08-30,1.0076237552399996
2023-08-31,1.0068099158799995
2023-09-01,1.0053281412399995
2023-09-04,1.0091482218199994
2023-09-05,1.0055804419999994
2023-09-06,1.0061515359799995
2023-09-07,0.9991745359799995
2023-09-08,0.9990644014799994
2023-09-11,1.0006025801799994
2023-09-12,0.9995280033599995
2023-09-13,0.9948088512199994
2023-09-14,0.9932289542999994
2023-09-15,0.9934845542999994
2023-09-18,0.9932202307999993
2023-09-19,0.9921659057399994
2023-09-20,0.9910770143799994
2023-09-21,0.9887248222799992
2023-09-22,0.9931316222799993
2023-09-25,0.9918954196799994
2023-09-26,0.9911940828999993
2023-09-27,0.9919199793799993
2023-09-28,0.9930280163399994
2023-10-09,0.9925408965599993
2023-10-10,0.9918386965599993
2023-10-11,0.9934864965599993
2023-10-12,0.9943895394399993
2023-10-13,0.9924037331399993
2023-10-16,0.9896209078799993
2023-10-17,0.9905226949599993
2023-10-18,0.9883953147799993
2023-10-19,0.9840673147799993
2023-10-20,0.9847165147799992
2023-10-23,0.9806049147799993
